Date,Province,Total_Electricity,Residential_Electricity,Commercial_Electricity,Industrial_Electricity,Transportation_Electricity
2005,Alberta,211.84,27.97,45.73,137.6,0.54
2006,Alberta,222.61,29.64,48.34,144.27,0.36
2007,Alberta,222.51,30.81,48.89,142.37,0.44
2008,Alberta,224.84,31.8,49.95,142.78,0.32
2009,Alberta,225.57,32.72,50.27,142.24,0.35
2010,Alberta,226.28,32.65,51.13,142.1,0.39
2011,Alberta,235.39,33.6,52.7,148.59,0.51
2012,Alberta,243.92,33.88,54.85,154.81,0.38
2013,Alberta,246.92,34.84,59.29,152.41,0.38
2014,Alberta,260.14,35.74,60.55,163.43,0.42
2015,Alberta,267.66,35.61,60.24,171.43,0.38
2016,Alberta,264.53,35.69,60.19,168.27,0.38
2017,Alberta,270.28,36.24,62.01,171.62,0.41
2018,Alberta,273.83,36.87,64.31,172.23,0.42
2019,Alberta,278.58,36.62,63.36,178.18,0.41
2020,Alberta,284.94,42.86,60.97,180.79,0.33
2021,Alberta,269.72,35.96,60.47,172.96,0.34
2022,Alberta,281.73,37.91,63.06,180.39,0.38
2023,Alberta,282.68,39.72,64.75,177.49,0.71
2024,Alberta,286.61,40.98,65.53,178.75,1.35
2025,Alberta,290.4,42.25,65.66,180.23,2.26
2026,Alberta,295.34,43.45,66.13,181.78,3.98
2027,Alberta,306.07,44.66,66.93,187.69,6.8
2028,Alberta,312.76,45.92,67.86,188.57,10.41
2029,Alberta,321.63,47.13,68.97,190.91,14.62
2030,Alberta,330.63,48.29,70.15,192.9,19.29
2031,Alberta,342.41,49.73,71.38,196.98,24.32
2032,Alberta,350.16,51.34,72.82,196.17,29.82
2033,Alberta,355.79,53.1,74.29,193.05,35.35
2034,Alberta,361.04,55.0,75.87,189.24,40.93
2035,Alberta,364.56,56.95,77.44,184.49,45.68
2036,Alberta,368.58,58.95,78.95,179.83,50.85
2037,Alberta,373.4,61.01,80.47,175.84,56.07
2038,Alberta,378.8,63.11,81.94,172.71,61.04
2039,Alberta,385.21,65.26,83.42,170.64,65.89
2040,Alberta,393.64,67.42,84.98,170.34,70.89
2041,Alberta,402.45,69.63,86.62,170.43,75.77
2042,Alberta,411.46,71.8,88.27,171.09,80.3
2043,Alberta,420.9,73.95,89.93,172.44,84.58
2044,Alberta,430.47,76.05,91.51,174.34,88.57
2045,Alberta,439.18,78.07,93.05,176.02,92.04
2046,Alberta,448.56,80.01,94.53,178.65,95.37
2047,Alberta,460.13,81.88,96.13,183.35,98.78
